ADM_TERM,AUB_ID,Gpa upon admission,ADM_FACULTY,ADM_DEGREE,ADM_PROGRAM,ADM_MAJOR,SAVAMCD_PRIM_COLL_DESC,GPA,GRAD_DEGREE,GRAD_FACULTY,GRAD_MAJOR,GRAD_PROGRAM,GRAD_TERM
202220,209,2.96,EA,BEN,BEN-CHME,CHME,Leb.University,2.5,,,,,202495
201710,210,3.34,AS,BS,BS-BIOL,BIOL,University of Balamand-ALBA,85.8,BS,AS,BIOL,BS-BIOL,201820
201810,211,3.3,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",75.8,BBA,SB,BADM,BBA-BUADM,202020
202110,212,2.96,NU,BSN,BSN-NURS,NURS,Beirut Arab University,3.7,BSN,NU,NURS,BSN-NURS,202320
201210,213,2.48,NU,BSN,BSN-NURS,NURS,"Middle East University,Sabtieh",70.2,BSN,NU,NURS,BSN-NURS,201810
202110,214,3.9,EA,BEN,BEN-INDE,INDE,"Leb. Am. University,Ras Beirut",3.7,,,,,202395
201510,215,3.39,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",76.7,BBA,SB,BADM,BBA-BUADM,201720
201210,216,3.52,AG,BS,BS-NTDT,NTDT,"Leb. Am. University,Ras Beirut",82.1,BS,AG,NTDT,BS-NTDT,201320
202220,217,3.46,EA,BEN,BEN-EECE,EECE,"N.D.University, Louaize",2.8,,,,,202410
201710,218,3.64,EA,BEN,BEN-EECE,EECE,"Leb. Am. University,Ras Beirut",76.9,BEN,EA,EECE,BEN-EECE,202210
201210,219,2.59,AG,BS,BS-AGBU,AGBU,"Leb. Am. University,Ras Beirut",58.4,,,,,201210
202220,220,4,EA,BEN,BEN-ECIV,ECIV,Balamand University,3.9,,,,,202410
201220,221,3.38,AS,BS,BS-CMPS,CMPS,Hariri Canadian University,76.9,BS,AS,CMPS,BS-CMPS,201910
202120,222,3.24,AS,BA,BA-PSYC,PSYC,Haigazian University,2.8,BA,AS,PSYC,BA-PSYC,202230
201820,223,3.35,AS,BA,BA-EDU-EEDU,ELEM,Haigazian University,79.6,BA,AS,ELEM,BA-EDU-EEDU,202020
201510,224,4,EA,BEN,BEN-ECMP,ECMP,Arts sciences and technology university in Lebanon,84.9,BEN,EA,ECMP,BEN-ECMP,201820
201910,225,2.62,HS,BS,BS-ENVH,ENVH,"Leb. Am. University,Ras Beirut",81.3,BS,HS,MLSP,BS-MLSP,202110
201220,226,3.3,AS,BS,BS-BIOL,BIOL,Leb.University,87.1,,,,,201220
202220,227,1.88,EA,BEN,BEN-CHME,CHME,University of Surrey,1.7,,,,,202230
201210,228,3.68,EA,BEN,BEN-EECE,EECE,"N.D.University, Louaize",77.6,BEN,EA,EECE,BEN-EECE,201510
201610,229,3.19,AS,BA,BA-ECON,ECON,"Leb. Am. University,Ras Beirut",73.2,BA,AS,ECON,BA-ECON,201830
202310,230,2.5,EA,BEN,BEN-CHME,CHME,Balamand University,2.1,,,,,202495
201310,231,3.77,AS,BS,BS-MATS,MATS,"Leb. Am. University,Ras Beirut",89.5,BS,AS,MATS,BS-MATS,201520
202310,232,1.89,AG,BS,BS-AGBU,AGBU,Arab Open University,3.5,,,,,202495
201820,233,2.5,NU,BSN,BSN-NURS,NURS,Leb.University,84.7,BSN,NU,NURS,BSN-NURS,202120
201510,234,3.04,NU,BSN,BSN-NURS,NURS,Makassed Univ/Col.Nurs&H.Sc,81.9,BSN,NU,NURS,BSN-NURS,201620
201210,235,3,AG,BS,BS-AGBU,AGBU,"Leb. Am. University,Ras Beirut",76.9,BBA,SB,BADM,BBA-BUADM,201410
201320,236,3.36,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",80.7,BBA,SB,BADM,BBA-BUADM,201520
202210,237,2.58,EA,BAR,BAR-ARCH,ARCH,"Leb. Am. University,Ras Beirut",2.8,,,,,202410
202210,238,4,EA,BEN,BEN-INDE,INDE,"Leb.Amer.University, Jbeil",3.9,,,,,202495
201610,239,3.6,AS,BA,BA-HIST,HIST,Haigazian University,89.3,BA,AS,HIST,BA-HIST,201720
201510,240,3.33,EA,BEN,BEN-EMCH,EMCH,"Leb. Am. University,Ras Beirut",81.9,BEN,EA,EMCH,BEN-EMCH,201720
201510,241,3.58,AG,BS,BS-NTDT,NTDT,"Leb. Am. University,Ras Beirut",78.1,BS,AG,NTDT,BS-NTDT,201720
202310,242,2.89,SB,BBA,BBA-BUADM,BADM,"N.D.University, Louaize",2.6,,,,,202410
202210,243,3.96,EA,BEN,BEN-INDE,INDE,American University of the Middle East,3,,,,,202410
201220,244,3.75,EA,BEN,BEN-ECIV,ECIV,Beirut Arab University,86,BEN,EA,ECIV,BEN-ECIV,201420
201710,245,3.75,EA,BEN,BEN-EMCH,EMCH,Rafic Hariri University,82.4,BEN,EA,EMCH,BEN-EMCH,202020
201820,246,2.8,AS,BS,BA-BIOL,BIOL,Leb.University,77.1,,,,,202020
202210,247,2.84,EA,BAR,BAR-ARCH,ARCH,Beirut Arab University,2.4,,,,,202410
201720,248,3.05,SB,BBA,BBA-BUADM,BADM,American University Wash.D.C.,77,BBA,SB,BADM,BBA-BUADM,201830
202210,249,3.83,AS,BS,BS-BIOL,BIOL,"Concordia Univ,Canada",1.9,,,,,202410
202020,250,3.28,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",3.4,BBA,SB,BADM,BBA-BUADM,202220
201310,251,3.2,AS,BA,BA-ECON,ECON,"St.Joseph Univ.(USJ),Beirut",84.2,BA,AS,ECON,BA-ECON,201520
202320,252,1.82,AG,BS,BS-AGBU,AGBU,"St.Joseph Univ.(USJ),Beirut",1.14,,,,,202410
202320,253,3.27,AS,BS,BS-BIOL,BIOL,Beirut Arab University,3.86,,,,,202495
202320,254,3.17,AS,BA,BA-SART,SART,"Leb. Am. University,Ras Beirut",2.9,,,,,202410
202320,255,3.37,AG,BS,BS-FSMT,FSMT,"N.D.University, Louaize",3.85,,,,,202410
202320,256,3.96,NU,BSN,BSN-NURS,NURS,George Mason Univ. Virginia,4.03,,,,,202495
202320,257,3.5,EA,BEN,BEN-ECIV,ECIV,Balamand University,4.02,,,,,202410
202320,258,3.85,AS,BS,BS-BIOL,BIOL,"Leb.Amer.University, Jbeil",4.2,,,,,202495
202320,259,2.98,AS,BA,BA-ECON,ECON,"Waterloo University,Ontario",2.46,,,,,202330
202320,260,2.67,AS,BS,BS-CMPS,CMPS,Leb.University,2.82,,,,,202410
