ADM_TERM,AUB_ID,Gpa upon admission,ADM_FACULTY,ADM_DEGREE,ADM_PROGRAM,ADM_MAJOR,SAVAMCD_PRIM_COLL_DESC,GPA,GRAD_DEGREE,GRAD_FACULTY,GRAD_MAJOR,GRAD_PROGRAM,GRAD_TERM
201210,52,3.58,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",72.2,BBA,SB,BADM,BBA-BUADM,201430
201420,53,3.76,EA,BEN,BEN-ECMP,ECMP,"Leb. Am. University,Ras Beirut",49.1,,,,,201595
201320,54,3.31,AS,BA,BA-ARLL,ARLL,"Leb. Am. University,Ras Beirut",79.1,BA,AS,ARLL,BA-ARLL,201420
201220,55,2.75,AS,BA,BA-PHIL,PHIL,Leb.University,86,BA,AS,PHIL,BA-PHIL,201320
201610,56,3.63,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",86,BBA,SB,BADM,BBA-BUADM,201830
201710,57,2.7,AG,BS,BS-NTDT,NTDT,"Leb. Am. University,Ras Beirut",81.2,BBA,SB,BADM,BBA-BUADM,201820
201310,58,3.46,EA,BEN,BEN-EECE,EECE,"Leb. Am. University,Ras Beirut",80.1,BEN,EA,EECE,BEN-EECE,201620
201310,59,3.77,EA,BEN,BEN-EMCH,EMCH,"Leb. Am. University,Ras Beirut",85.1,BEN,EA,EMCH,BEN-EMCH,201630
202310,60,2.86,SB,BBA,BBA-BUADM,BADM,Illinois Valey Community College,2.4,,,,,202410
202110,61,3.91,EA,BEN,BEN-INDE,INDE,"Leb. Am. University,Ras Beirut",4.1,BEN,EA,INDE,BEN-INDE,202310
201610,62,2.6,EA,BAR,BAR-ARCH,ARCH,University of Toronto,77.3,BAR,EA,ARCH,BAR-ARCH,202120
201520,63,3.18,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",76.3,BBA,SB,BADM,BBA-BUADM,201720
201410,64,3.63,EA,BEN,BEN-ECIV,ECIV,"Leb. Am. University,Ras Beirut",84.3,BEN,EA,ECIV,BEN-ECIV,201620
202310,65,3.5,EA,BEN,BEN-ECIV,ECIV,Ecole Polytechnique Federale de Laussane,3.8,,,,,202410
202210,66,4,EA,BAR,BAR-ARCH,ARCH,"Leb. Am. University,Ras Beirut",3.5,,,,,202410
201310,67,3.42,EA,BEN,BEN-EECE,EECE,"Leb. Am. University,Ras Beirut",84.4,BEN,EA,ECMP,BEN-ECMP,201520
202120,68,3.2,SB,BBA,BBA-BUADM,BADM,Haigazian University,3.1,BBA,SB,BADM,BBA-BUADM,202310
201320,69,3.31,EA,BS,BS-CONS,CONS,University of Michigan,80.1,BS,EA,CONS,BS-CONS,201530
202310,70,3.3,EA,BEN,BEN-EMCH,EMCH,"Leb. Am. University,Ras Beirut",4.3,,,,,202495
201620,71,3.01,AS,BS,BS-BIOL,BIOL,Leb.University,89.7,BS,AS,BIOL,BS-BIOL,201820
202110,72,2.89,AG,BLA,BLA-LDAR,LDAR,Acad Lib des Beaux Arts(ALBA),3.8,BLA,AG,LDAR,BLA-LDAR,202320
202220,73,3.29,SB,BBA,BBA-BUADM,BADM,Ecole Superieure des Affaires,3.2,,,,,202495
201210,74,3.3,EA,BEN,BEN-CHME,CHME,Leb.University,87,BEN,EA,CHME,BEN-CHME,201520
201210,75,3.35,AG,BS,BS-FSMT,FSMT,"Leb. Am. University,Ras Beirut",84.7,BS,AG,FSMT,BS-FSMT,201410
201310,76,3.34,EA,BAR,BAR-ARCH,ARCH,"Leb. Am. University,Ras Beirut",79.7,BA,AS,PSYC,BA-PSYC,201520
201510,77,2.67,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",77.5,BBA,SB,BADM,BBA-BUADM,201710
201610,78,3.1,EA,BEN,BEN-EECE,EECE,"Leb. Am. University,Ras Beirut",82.2,BEN,EA,EECE,BEN-EECE,201920
202020,79,2.89,HS,BS,BS-MIMG,MIMG,Leb.University,4,BS,HS,MIMG,BS-MIMG,202320
201710,80,3.92,EA,BEN,BEN-EMCH,EMCH,"N.D.University, Louaize",85.4,BEN,EA,EMCH,BEN-EMCH,202020
201610,81,2.86,EA,BEN,BEN-ECMP,ECMP,Leb.University,79.6,BEN,EA,ECMP,BEN-ECMP,201920
201210,82,3.8,SB,BBA,BBA-BUADM,BADM,Australian College of Kuwait,55.8,,,,,201220
201410,83,3.63,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",80.7,BBA,SB,BADM,BBA-BUADM,201610
201510,84,3.5,EA,BEN,BEN-EECE,EECE,"Univ.St.Esprit,Kaslik",84.5,BEN,EA,EECE,BEN-EECE,201730
201710,85,3.04,EA,BFA,BFA-GRPD,GRPD,University of Balamand-ALBA,77.9,BFA,EA,GRPD,BFA-GRPD,202020
201410,86,3.08,EA,BEN,BEN-ECMP,ECMP,Balamand University,77,BEN,EA,ECMP,BEN-ECMP,201620
201310,87,3.55,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",85.2,BBA,SB,BADM,BBA-BUADM,201520
201210,88,3,SB,BBA,BBA-BUADM,BADM,"Univ.St.Esprit,Kaslik",77.2,BBA,SB,BADM,BBA-BUADM,201410
202020,89,3.45,AS,BS,BS-PHYS,PHYS,Leb.University,3.9,BS,AS,PHYS,BS-PHYS,202220
201510,90,3.27,AS,BA,BA-MCOM,MCOM,"Leb. Am. University,Ras Beirut",76.9,BA,AS,MCOM,BA-MCOM,201620
201710,91,3.3,AS,BA,BA-ECON,ECON,"Leb. Am. University,Ras Beirut",75.8,BA,AS,ECON,BA-ECON,201910
202110,92,2.48,NU,BSN,BSN-NURS,NURS,"Leb. Am. University,Ras Beirut",3.2,,,,,202410
202120,93,3.39,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",2.9,BBA,SB,BADM,BBA-BUADM,202320
202110,94,3.34,AS,BA,BA-POLS,POLS,Haigazian University,3.8,BA,AS,POLS,BA-POLS,202220
202020,95,2.95,AG,BS,BS-NTDT,NTDT,"Leb. Am. University,Ras Beirut",3.6,BS,AG,NTDT,BS-NTDT,202120
201410,96,3.59,EA,BEN,BEN-ECIV,ECIV,"Leb. Am. University,Ras Beirut",80.5,BEN,EA,ECIV,BEN-ECIV,201630
201810,97,3.56,NU,BSN,BSN-NURS,NURS,Amer.Univ.of Sci.& Tech.,88.5,BSN,NU,NURS,BSN-NURS,202020
201410,98,2.41,AS,BA,BA-ENGL-LITR,ELIT,Leb.University,86.5,,,,,201495
201320,99,2.2,SB,BBA,BBA-BUADM,BADM,"St.Joseph Univ.(USJ),Beirut",66.5,,,,,201520
201910,100,3.51,EA,BEN,BEN-ECIV,ECIV,"Leb. Am. University,Ras Beirut",90.2,BEN,EA,ECIV,BEN-ECIV,202210
201910,101,3.64,EA,BEN,BEN-ECMP,ECMP,"Leb. Am. University,Ras Beirut",84.3,BEN,EA,ECMP,BEN-ECMP,202130
202210,102,3.35,SB,BBA,BBA-BUADM,BADM,"N.D.University, Louaize",3.6,,,,,202330
202010,103,3.62,NU,BSN,BSN-NURS,NURS,Lebanese International Univ.,0.1,,,,,202110
201510,104,3.7,EA,BEN,BEN-EMCH,EMCH,"Leb. Am. University,Ras Beirut",80.8,BEN,EA,EMCH,BEN-EMCH,201720
202020,105,3.79,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",3.9,BBA,SB,BADM,BBA-BUADM,202210
